PCP_PC,PCP_NC,PCP_NE,PCP_PO,PCP_NP,PCP_AL,PCP_CY,PCP_AR,PCP_AC,PCP_BS,PCP_NE_pH,PCP_HB,PCP_HL,PCP_NT,PCP_HX,PCP_SC,PCP_SS_HE,PCP_SS_ST,PCP_SS_CO,PCP_SA_BU,PCP_SA_EX,PCP_SA_IN,PCP_TN,PCP_SM,PCP_LR,PCP_Z1,PCP_Z2,PCP_Z3,PCP_Z4,PCP_Z5 
0.312,0.25,0.438,0.375,0.0,0.0,0.0,0.188,0.25,0.312,0.438,0.0,0.375,0.438,0.0,0.0,0.625,0.188,0.188,0.0,0.562,0.438,0.0,0.188,0.812,1.689,1.344,0.012,0.065,-0.148
0.125,0.125,0.75,0.438,0.25,0.25,0.0,0.062,0.125,0.125,0.75,0.312,0.188,0.562,0.312,0.0,0.312,0.312,0.375,0.25,0.25,0.5,0.312,0.688,0.312,1.254,-0.599,0.091,-0.619,0.022
0.25,0.062,0.688,0.375,0.312,0.312,0.062,0.125,0.062,0.25,0.688,0.375,0.312,0.312,0.125,0.062,0.312,0.438,0.25,0.312,0.25,0.438,0.188,0.5,0.5,0.419,-0.133,-0.186,0.139,-0.109
0.312,0.25,0.438,0.125,0.188,0.188,0.0,0.0,0.25,0.312,0.438,0.188,0.438,0.375,0.0,0.0,0.688,0.062,0.25,0.188,0.5,0.25,0.062,0.312,0.688,1.828,0.723,-0.139,-0.006,0.106
0.125,0.188,0.688,0.125,0.562,0.5,0.062,0.125,0.188,0.125,0.688,0.625,0.188,0.188,0.0,0.062,0.375,0.5,0.125,0.562,0.312,0.188,0.125,0.5,0.5,-0.682,-0.54,-0.14,-0.424,0.014
0.062,0.125,0.812,0.375,0.375,0.375,0.125,0.062,0.125,0.062,0.812,0.562,0.25,0.375,0.188,0.062,0.375,0.312,0.312,0.312,0.375,0.438,0.25,0.688,0.312,0.428,-0.465,0.411,-0.539,0.176
0.25,0.188,0.562,0.312,0.188,0.125,0.0,0.188,0.188,0.25,0.562,0.312,0.312,0.188,0.0,0.188,0.438,0.438,0.125,0.25,0.375,0.312,0.125,0.312,0.688,0.534,0.543,0.029,-0.006,-0.704
0.125,0.188,0.688,0.188,0.25,0.25,0.062,0.062,0.188,0.125,0.688,0.188,0.438,0.438,0.062,0.0,0.375,0.125,0.5,0.188,0.625,0.25,0.188,0.625,0.375,1.863,0.085,0.292,-0.724,-0.279
0.062,0.312,0.625,0.125,0.312,0.312,0.0,0.062,0.312,0.062,0.625,0.312,0.25,0.375,0.062,0.0,0.375,0.188,0.438,0.312,0.5,0.188,0.188,0.625,0.375,1.209,0.074,0.437,-1.066,-0.007
0.125,0.0,0.875,0.312,0.5,0.438,0.0,0.125,0.0,0.125,0.875,0.562,0.188,0.188,0.188,0.062,0.25,0.562,0.188,0.438,0.062,0.438,0.188,0.625,0.375,-0.622,-0.678,-0.531,-0.169,-0.201
0.188,0.188,0.625,0.25,0.25,0.25,0.062,0.062,0.188,0.188,0.625,0.375,0.375,0.312,0.062,0.062,0.375,0.312,0.312,0.25,0.562,0.25,0.125,0.562,0.438,1.07,0.11,0.117,-0.443,-0.099
0.188,0.25,0.562,0.188,0.312,0.312,0.0,0.062,0.25,0.188,0.562,0.312,0.25,0.375,0.0,0.062,0.375,0.312,0.312,0.375,0.438,0.125,0.125,0.5,0.5,0.946,-0.068,-0.139,-0.587,-0.135
0.25,0.188,0.562,0.25,0.188,0.125,0.0,0.188,0.188,0.25,0.562,0.25,0.375,0.25,0.062,0.062,0.375,0.375,0.25,0.125,0.438,0.438,0.0,0.375,0.625,0.656,0.724,-0.078,-0.036,-0.42
0.188,0.125,0.688,0.25,0.438,0.438,0.0,0.125,0.125,0.188,0.688,0.25,0.188,0.438,0.062,0.062,0.25,0.375,0.375,0.5,0.188,0.25,0.375,0.625,0.375,0.872,-0.968,-0.086,-0.318,-0.361
0.125,0.125,0.75,0.25,0.438,0.438,0.125,0.062,0.125,0.125,0.75,0.438,0.312,0.375,0.062,0.0,0.438,0.188,0.375,0.312,0.438,0.375,0.25,0.688,0.312,0.908,-0.28,0.384,-0.191,0.439
0.125,0.25,0.625,0.188,0.375,0.375,0.0,0.062,0.25,0.125,0.625,0.375,0.188,0.438,0.125,0.0,0.375,0.25,0.375,0.375,0.312,0.312,0.312,0.688,0.312,1.246,-0.477,0.413,-0.594,0.196
0.188,0.188,0.625,0.438,0.125,0.125,0.0,0.062,0.188,0.188,0.625,0.25,0.25,0.5,0.062,0.062,0.625,0.25,0.125,0.188,0.562,0.25,0.125,0.312,0.688,1.43,0.275,-0.192,-0.499,-0.074
0.0,0.062,0.938,0.125,0.75,0.5,0.0,0.125,0.062,0.0,0.938,0.75,0.062,0.125,0.062,0.188,0.375,0.438,0.188,0.562,0.125,0.312,0.125,0.312,0.688,-2.022,-0.58,-0.234,-0.274,-0.076
0.25,0.125,0.625,0.25,0.188,0.062,0.0,0.125,0.125,0.25,0.625,0.312,0.438,0.25,0.125,0.125,0.438,0.312,0.25,0.062,0.438,0.5,0.0,0.375,0.625,0.787,0.63,-0.104,0.127,-0.561
0.125,0.0,0.875,0.25,0.438,0.312,0.062,0.25,0.0,0.125,0.875,0.5,0.375,0.0,0.0,0.125,0.25,0.5,0.25,0.375,0.25,0.438,0.062,0.375,0.625,-1.004,0.562,0.347,0.286,-0.623
0.062,0.188,0.75,0.5,0.188,0.188,0.0,0.375,0.188,0.062,0.75,0.125,0.125,0.375,0.062,0.0,0.312,0.438,0.25,0.188,0.312,0.5,0.188,0.375,0.625,0.27,0.629,0.295,-0.631,-0.491
0.0,0.25,0.75,0.312,0.375,0.375,0.062,0.188,0.25,0.0,0.75,0.375,0.125,0.375,0.0,0.0,0.25,0.438,0.312,0.312,0.5,0.25,0.0,0.438,0.562,-0.308,0.201,-0.064,-1.096,0.039
0.188,0.188,0.625,0.125,0.312,0.25,0.0,0.062,0.188,0.188,0.625,0.375,0.375,0.25,0.062,0.062,0.312,0.375,0.312,0.25,0.562,0.188,0.0,0.5,0.5,0.593,0.059,-0.458,-0.612,-0.314
0.188,0.125,0.688,0.188,0.438,0.312,0.062,0.125,0.125,0.188,0.688,0.375,0.312,0.312,0.062,0.062,0.438,0.25,0.312,0.312,0.375,0.312,0.125,0.375,0.625,0.161,0.142,-0.234,-0.126,0.005
0.25,0.125,0.625,0.25,0.25,0.125,0.0,0.188,0.125,0.25,0.625,0.312,0.375,0.125,0.0,0.188,0.438,0.375,0.188,0.188,0.438,0.375,0.062,0.312,0.688,0.223,0.618,-0.039,0.191,-0.655
0.125,0.25,0.625,0.188,0.375,0.312,0.0,0.062,0.25,0.125,0.625,0.375,0.188,0.438,0.062,0.062,0.438,0.25,0.312,0.312,0.375,0.312,0.188,0.625,0.375,1.094,-0.304,0.254,-0.462,0.035
0.062,0.25,0.688,0.375,0.25,0.25,0.062,0.25,0.25,0.062,0.688,0.25,0.188,0.375,0.062,0.062,0.312,0.375,0.312,0.25,0.375,0.438,0.25,0.5,0.5,0.621,0.222,0.671,-0.687,-0.405
0.0,0.062,0.938,0.188,0.625,0.5,0.0,0.188,0.062,0.0,0.938,0.688,0.125,0.062,0.0,0.125,0.062,0.75,0.188,0.625,0.188,0.188,0.062,0.312,0.688,-1.941,-0.353,-0.213,-0.547,-0.491
0.062,0.188,0.75,0.188,0.5,0.438,0.0,0.125,0.188,0.062,0.75,0.562,0.125,0.312,0.125,0.0,0.312,0.5,0.188,0.5,0.312,0.188,0.125,0.5,0.5,-0.479,-0.619,-0.447,-0.972,-0.017
0.25,0.0,0.75,0.375,0.188,0.125,0.0,0.125,0.0,0.25,0.75,0.375,0.438,0.188,0.188,0.125,0.375,0.375,0.25,0.188,0.25,0.5,0.188,0.5,0.5,0.816,0.354,0.031,0.296,-0.603
0.25,0.062,0.688,0.188,0.438,0.438,0.0,0.062,0.062,0.25,0.688,0.438,0.312,0.25,0.062,0.0,0.438,0.375,0.188,0.438,0.312,0.188,0.188,0.438,0.562,0.364,-0.437,-0.781,-0.123,0.091
0.0,0.0,1.0,0.25,0.688,0.562,0.0,0.188,0.0,0.0,1.0,0.75,0.062,0.125,0.125,0.062,0.25,0.625,0.125,0.625,0.062,0.312,0.188,0.625,0.375,-1.662,-0.994,-0.39,-0.471,-0.142
0.0,0.125,0.875,0.188,0.625,0.5,0.0,0.062,0.125,0.0,0.875,0.75,0.062,0.125,0.0,0.25,0.25,0.625,0.125,0.625,0.188,0.188,0.188,0.5,0.5,-1.219,-0.981,0.049,-0.526,-0.473
0.062,0.125,0.812,0.125,0.625,0.312,0.0,0.312,0.125,0.062,0.812,0.625,0.125,0.188,0.062,0.062,0.375,0.438,0.188,0.562,0.25,0.188,0.125,0.312,0.688,-1.399,0.332,0.035,-0.174,-0.176
0.0,0.062,0.938,0.25,0.5,0.375,0.0,0.125,0.062,0.0,0.938,0.562,0.188,0.25,0.125,0.062,0.188,0.5,0.312,0.438,0.312,0.25,0.062,0.5,0.5,-0.795,-0.286,-0.256,-0.782,-0.29
0.312,0.125,0.562,0.312,0.0,0.0,0.0,0.188,0.125,0.312,0.562,0.0,0.562,0.25,0.0,0.0,0.5,0.188,0.312,0.0,0.562,0.438,0.0,0.312,0.688,1.709,1.543,0.184,0.277,-0.522
0.188,0.125,0.688,0.062,0.562,0.375,0.0,0.0,0.125,0.188,0.688,0.562,0.25,0.25,0.062,0.188,0.562,0.312,0.125,0.375,0.312,0.312,0.125,0.375,0.625,-0.134,-0.756,-0.572,-0.021,-0.209
0.25,0.125,0.625,0.438,0.188,0.188,0.0,0.125,0.125,0.25,0.625,0.375,0.25,0.25,0.062,0.25,0.375,0.438,0.188,0.438,0.188,0.25,0.438,0.562,0.438,1.204,-0.179,0.554,0.092,-0.713
0.062,0.125,0.812,0.375,0.375,0.375,0.062,0.062,0.125,0.062,0.812,0.438,0.188,0.438,0.312,0.0,0.25,0.25,0.5,0.312,0.25,0.5,0.312,0.688,0.312,0.299,-0.476,0.33,-0.733,0.376
0.062,0.062,0.875,0.375,0.375,0.375,0.0,0.125,0.062,0.062,0.875,0.5,0.188,0.25,0.188,0.062,0.062,0.625,0.312,0.438,0.188,0.375,0.188,0.688,0.312,-0.269,-0.563,0.027,-0.62,-0.412
0.125,0.0,0.875,0.438,0.312,0.25,0.0,0.188,0.0,0.125,0.875,0.438,0.25,0.188,0.188,0.125,0.25,0.5,0.25,0.312,0.188,0.5,0.25,0.562,0.438,-0.129,-0.134,0.144,-0.099,-0.525
0.375,0.188,0.438,0.188,0.188,0.188,0.0,0.062,0.188,0.375,0.438,0.188,0.438,0.375,0.125,0.0,0.438,0.188,0.375,0.188,0.25,0.5,0.188,0.562,0.438,1.947,0.427,0.282,0.521,0.039
0.188,0.25,0.562,0.188,0.25,0.188,0.0,0.062,0.25,0.188,0.562,0.188,0.312,0.438,0.062,0.062,0.5,0.188,0.312,0.188,0.5,0.188,0.125,0.375,0.625,1.441,0.254,-0.506,-0.729,-0.282
0.188,0.125,0.688,0.062,0.5,0.375,0.0,0.125,0.125,0.188,0.688,0.5,0.312,0.125,0.0,0.062,0.5,0.375,0.125,0.438,0.375,0.125,0.062,0.375,0.625,-0.306,-0.067,-0.743,-0.321,-0.25
0.188,0.25,0.562,0.0,0.5,0.312,0.0,0.0,0.25,0.188,0.562,0.438,0.25,0.312,0.0,0.188,0.625,0.188,0.188,0.312,0.438,0.188,0.125,0.375,0.625,0.571,-0.402,-0.516,-0.34,-0.185
0.188,0.438,0.375,0.125,0.188,0.188,0.0,0.062,0.438,0.188,0.375,0.125,0.25,0.562,0.0,0.0,0.5,0.125,0.375,0.188,0.625,0.188,0.125,0.5,0.5,2.152,0.302,0.304,-0.871,0.076
0.125,0.25,0.625,0.0,0.375,0.312,0.0,0.0,0.25,0.125,0.625,0.375,0.375,0.25,0.0,0.062,0.25,0.312,0.438,0.312,0.625,0.062,0.0,0.5,0.5,0.677,0.096,-0.191,-0.894,-0.236
0.062,0.312,0.625,0.125,0.438,0.438,0.0,0.125,0.312,0.062,0.625,0.438,0.125,0.312,0.0,0.0,0.375,0.438,0.188,0.438,0.375,0.188,0.062,0.5,0.5,-0.035,-0.301,-0.192,-1.019,-0.087
0.125,0.312,0.562,0.188,0.312,0.25,0.125,0.062,0.312,0.125,0.562,0.438,0.312,0.438,0.125,0.062,0.438,0.25,0.312,0.125,0.562,0.438,0.062,0.562,0.438,0.971,0.034,0.234,-0.646,0.098
0.125,0.188,0.688,0.188,0.312,0.312,0.0,0.0,0.188,0.125,0.688,0.375,0.312,0.375,0.125,0.0,0.438,0.25,0.312,0.312,0.562,0.125,0.062,0.375,0.625,0.537,-0.153,-0.604,-1.072,-0.036
0.125,0.188,0.688,0.25,0.312,0.312,0.0,0.062,0.188,0.125,0.688,0.438,0.25,0.375,0.125,0.0,0.375,0.438,0.188,0.312,0.438,0.25,0.062,0.562,0.438,0.647,-0.366,-0.464,-0.825,-0.168
0.312,0.188,0.5,0.375,0.062,0.062,0.0,0.188,0.188,0.312,0.5,0.188,0.375,0.25,0.0,0.125,0.438,0.375,0.188,0.188,0.375,0.25,0.125,0.375,0.625,1.416,0.995,-0.138,0.034,-0.596
0.062,0.125,0.812,0.438,0.312,0.312,0.0,0.062,0.125,0.062,0.812,0.312,0.125,0.562,0.312,0.062,0.188,0.312,0.5,0.375,0.188,0.438,0.5,0.812,0.188,1.274,-1.041,0.561,-0.814,-0.148
0.062,0.062,0.875,0.375,0.438,0.312,0.0,0.0,0.062,0.062,0.875,0.625,0.125,0.438,0.312,0.125,0.438,0.312,0.25,0.312,0.25,0.438,0.312,0.75,0.25,0.496,-1.089,-0.148,-0.554,0.134
0.125,0.125,0.75,0.375,0.312,0.312,0.0,0.062,0.125,0.125,0.75,0.25,0.188,0.5,0.0,0.0,0.625,0.188,0.188,0.312,0.562,0.125,0.125,0.312,0.688,0.79,-0.091,-0.62,-0.706,0.195
0.188,0.188,0.625,0.25,0.25,0.188,0.0,0.062,0.188,0.188,0.625,0.25,0.312,0.438,0.188,0.062,0.438,0.188,0.375,0.188,0.375,0.375,0.25,0.562,0.438,1.526,-0.068,-0.028,-0.471,-0.209
0.125,0.25,0.625,0.188,0.312,0.312,0.0,0.0,0.25,0.125,0.625,0.312,0.25,0.438,0.0,0.0,0.625,0.125,0.25,0.312,0.625,0.062,0.125,0.5,0.5,1.332,-0.079,-0.262,-0.914,0.222
0.25,0.25,0.5,0.312,0.125,0.125,0.0,0.125,0.25,0.25,0.5,0.188,0.312,0.375,0.0,0.062,0.5,0.312,0.188,0.188,0.562,0.188,0.062,0.312,0.688,1.286,0.629,-0.319,-0.462,-0.256
0.0,0.0,1.0,0.125,0.688,0.625,0.0,0.062,0.0,0.0,1.0,0.75,0.188,0.062,0.062,0.062,0.25,0.562,0.188,0.625,0.188,0.188,0.062,0.688,0.312,-1.452,-1.099,-0.652,-0.653,-0.285
0.25,0.312,0.438,0.188,0.188,0.188,0.0,0.062,0.312,0.25,0.438,0.125,0.312,0.5,0.062,0.0,0.625,0.125,0.25,0.188,0.5,0.312,0.188,0.375,0.625,1.904,0.199,0.024,-0.442,-0.032
0.062,0.0,0.938,0.188,0.438,0.25,0.0,0.125,0.0,0.062,0.938,0.5,0.375,0.125,0.125,0.125,0.188,0.438,0.375,0.312,0.312,0.375,0.062,0.5,0.5,-0.366,0.182,0.078,-0.226,-0.686
0.188,0.125,0.688,0.312,0.25,0.25,0.0,0.125,0.125,0.188,0.688,0.25,0.312,0.375,0.125,0.0,0.375,0.312,0.312,0.25,0.375,0.375,0.188,0.5,0.5,1.003,0.038,-0.057,-0.329,-0.193
0.0,0.0,1.0,0.25,0.75,0.438,0.0,0.375,0.0,0.0,1.0,0.875,0.0,0.0,0.0,0.188,0.25,0.75,0.0,0.812,0.0,0.188,0.125,0.312,0.688,-2.977,-0.279,0.137,-0.063,-0.561
0.125,0.062,0.812,0.375,0.375,0.312,0.062,0.062,0.062,0.125,0.812,0.562,0.25,0.375,0.188,0.062,0.438,0.375,0.188,0.25,0.312,0.5,0.062,0.5,0.5,0.009,-0.287,-0.259,-0.171,0.086
0.312,0.125,0.562,0.0,0.375,0.375,0.0,0.0,0.125,0.312,0.562,0.312,0.5,0.188,0.0,0.0,0.438,0.25,0.312,0.375,0.438,0.188,0.062,0.5,0.5,0.896,-0.083,-0.42,0.05,-0.174
0.312,0.188,0.5,0.188,0.25,0.125,0.0,0.125,0.188,0.312,0.5,0.375,0.375,0.25,0.062,0.125,0.562,0.375,0.062,0.25,0.438,0.25,0.062,0.25,0.75,0.671,0.341,-0.544,-0.022,-0.462
0.125,0.062,0.812,0.375,0.438,0.312,0.062,0.25,0.062,0.125,0.812,0.625,0.188,0.125,0.062,0.188,0.25,0.625,0.125,0.562,0.125,0.312,0.312,0.562,0.438,-0.552,-0.036,0.579,0.254,-0.595
0.062,0.062,0.875,0.375,0.438,0.25,0.0,0.188,0.062,0.062,0.875,0.438,0.125,0.375,0.312,0.062,0.312,0.312,0.375,0.375,0.125,0.438,0.375,0.438,0.562,-0.251,-0.122,0.118,-0.539,0.018
0.312,0.375,0.312,0.188,0.062,0.062,0.0,0.125,0.375,0.312,0.312,0.0,0.375,0.5,0.0,0.0,0.5,0.125,0.375,0.062,0.562,0.312,0.062,0.375,0.625,2.321,1.026,0.194,-0.248,-0.085
0.375,0.125,0.5,0.25,0.188,0.188,0.0,0.125,0.125,0.375,0.5,0.188,0.438,0.25,0.0,0.125,0.438,0.312,0.25,0.312,0.25,0.312,0.25,0.375,0.625,1.481,0.39,0.09,0.53,-0.601
0.25,0.125,0.625,0.188,0.438,0.438,0.062,0.0,0.125,0.25,0.625,0.375,0.312,0.375,0.0,0.0,0.562,0.25,0.188,0.375,0.438,0.25,0.125,0.5,0.5,0.769,-0.452,-0.473,0.001,0.369
0.188,0.125,0.688,0.062,0.5,0.188,0.0,0.062,0.125,0.188,0.688,0.5,0.312,0.125,0.0,0.312,0.562,0.25,0.188,0.188,0.375,0.438,0.0,0.312,0.688,-0.351,0.156,-0.177,0.392,-0.51
0.312,0.312,0.375,0.062,0.25,0.25,0.0,0.062,0.312,0.312,0.375,0.188,0.375,0.375,0.0,0.0,0.375,0.25,0.375,0.25,0.438,0.188,0.062,0.5,0.5,1.674,0.422,-0.27,-0.255,-0.021
0.188,0.188,0.625,0.062,0.438,0.438,0.0,0.062,0.188,0.188,0.625,0.375,0.312,0.25,0.0,0.0,0.312,0.375,0.312,0.438,0.438,0.125,0.125,0.625,0.375,0.607,-0.446,-0.336,-0.534,-0.102
0.062,0.25,0.688,0.188,0.438,0.438,0.062,0.125,0.25,0.062,0.688,0.375,0.188,0.375,0.062,0.0,0.312,0.25,0.438,0.375,0.375,0.312,0.312,0.75,0.25,0.863,-0.35,0.619,-0.701,0.231
0.062,0.188,0.75,0.062,0.625,0.438,0.0,0.125,0.188,0.062,0.75,0.688,0.125,0.188,0.0,0.125,0.312,0.562,0.125,0.625,0.312,0.062,0.062,0.312,0.688,-1.246,-0.472,-0.303,-0.674,-0.255
0.25,0.062,0.688,0.25,0.375,0.312,0.0,0.062,0.062,0.25,0.688,0.5,0.312,0.125,0.062,0.188,0.438,0.438,0.125,0.438,0.188,0.25,0.25,0.562,0.438,0.408,-0.334,-0.274,0.162,-0.479
0.25,0.125,0.625,0.125,0.438,0.375,0.062,0.125,0.125,0.25,0.625,0.5,0.375,0.188,0.062,0.0,0.375,0.438,0.188,0.375,0.312,0.375,0.0,0.312,0.688,-0.398,0.181,-0.3,0.142,0.036
0.125,0.125,0.75,0.25,0.438,0.312,0.0,0.062,0.125,0.125,0.75,0.562,0.188,0.25,0.125,0.188,0.375,0.5,0.125,0.375,0.312,0.312,0.125,0.438,0.562,-0.372,-0.649,-0.443,-0.452,-0.428
0.0,0.0,1.0,0.25,0.688,0.375,0.0,0.25,0.0,0.0,1.0,0.75,0.062,0.0,0.0,0.312,0.312,0.625,0.062,0.5,0.062,0.438,0.062,0.312,0.688,-2.449,-0.272,-0.034,0.156,-0.744
0.062,0.125,0.812,0.188,0.625,0.625,0.062,0.188,0.125,0.062,0.812,0.625,0.125,0.125,0.0,0.0,0.312,0.562,0.125,0.562,0.25,0.25,0.0,0.375,0.625,-1.93,-0.516,-0.724,-0.652,0.085
0.062,0.062,0.875,0.125,0.75,0.438,0.0,0.375,0.062,0.062,0.875,0.688,0.062,0.188,0.0,0.062,0.25,0.562,0.188,0.812,0.062,0.125,0.188,0.375,0.625,-1.901,-0.122,0.271,0.11,-0.352
0.062,0.438,0.5,0.125,0.25,0.25,0.0,0.062,0.438,0.062,0.5,0.25,0.188,0.5,0.0,0.062,0.312,0.25,0.438,0.312,0.625,0.062,0.188,0.625,0.375,1.734,-0.084,0.552,-1.388,-0.226
0.062,0.188,0.75,0.062,0.375,0.375,0.0,0.0,0.188,0.062,0.75,0.125,0.375,0.5,0.0,0.0,0.25,0.062,0.688,0.375,0.625,0.0,0.312,0.812,0.188,2.263,-0.599,0.345,-1.114,-0.379
0.188,0.062,0.75,0.312,0.375,0.312,0.062,0.125,0.062,0.188,0.75,0.375,0.312,0.312,0.188,0.0,0.375,0.312,0.312,0.312,0.375,0.375,0.188,0.312,0.688,-0.14,0.066,-0.317,-0.299,0.191
0.125,0.25,0.625,0.25,0.25,0.25,0.0,0.188,0.25,0.125,0.625,0.188,0.25,0.375,0.0,0.0,0.438,0.312,0.25,0.25,0.5,0.25,0.125,0.438,0.562,0.963,0.247,-0.051,-0.773,-0.356
0.125,0.188,0.688,0.188,0.312,0.312,0.0,0.0,0.188,0.125,0.688,0.312,0.312,0.438,0.188,0.0,0.312,0.25,0.438,0.312,0.438,0.25,0.25,0.625,0.375,1.348,-0.478,-0.014,-0.896,-0.114
0.25,0.188,0.562,0.188,0.188,0.188,0.0,0.188,0.188,0.25,0.562,0.188,0.438,0.188,0.0,0.0,0.375,0.375,0.25,0.188,0.5,0.312,0.0,0.312,0.688,0.68,0.826,-0.206,-0.226,-0.481
0.062,0.188,0.75,0.312,0.375,0.375,0.062,0.0,0.188,0.062,0.75,0.438,0.188,0.5,0.188,0.0,0.5,0.188,0.312,0.312,0.5,0.25,0.25,0.562,0.438,0.789,-0.588,-0.196,-1.069,0.431
0.312,0.188,0.5,0.062,0.312,0.312,0.0,0.062,0.188,0.312,0.5,0.188,0.438,0.312,0.0,0.0,0.438,0.188,0.375,0.312,0.5,0.125,0.188,0.562,0.438,1.666,-0.05,-0.388,-0.209,-0.131
0.0,0.0,1.0,0.375,0.625,0.438,0.0,0.188,0.0,0.0,1.0,0.875,0.0,0.0,0.0,0.375,0.25,0.75,0.0,0.75,0.0,0.25,0.312,0.5,0.5,-1.952,-0.956,0.548,0.008,-0.845
0.25,0.25,0.5,0.125,0.312,0.312,0.062,0.062,0.25,0.25,0.5,0.25,0.375,0.375,0.0,0.0,0.5,0.188,0.312,0.25,0.5,0.25,0.125,0.5,0.5,1.415,0.178,-0.13,-0.258,0.111
0.188,0.25,0.562,0.25,0.25,0.25,0.0,0.062,0.25,0.188,0.562,0.312,0.25,0.375,0.062,0.062,0.5,0.25,0.25,0.312,0.375,0.25,0.188,0.5,0.5,1.182,0.106,0.099,-0.464,-0.081
0.125,0.188,0.688,0.188,0.438,0.375,0.125,0.0,0.188,0.125,0.688,0.562,0.312,0.375,0.125,0.062,0.5,0.25,0.25,0.25,0.5,0.312,0.125,0.562,0.438,0.634,-0.381,-0.301,-0.569,0.281
0.125,0.0,0.875,0.25,0.625,0.438,0.0,0.125,0.0,0.125,0.875,0.812,0.125,0.062,0.062,0.25,0.312,0.688,0.0,0.625,0.0,0.375,0.188,0.438,0.562,-1.518,-0.819,0.006,0.372,-0.472
0.125,0.125,0.75,0.312,0.375,0.375,0.062,0.062,0.125,0.125,0.75,0.5,0.25,0.375,0.188,0.062,0.375,0.312,0.312,0.375,0.312,0.375,0.25,0.625,0.375,0.411,-0.648,0.122,-0.494,-0.024
0.125,0.125,0.75,0.062,0.562,0.5,0.0,0.062,0.125,0.125,0.75,0.562,0.25,0.188,0.0,0.0,0.312,0.5,0.188,0.562,0.438,0.0,0.062,0.438,0.562,-0.487,-0.532,-0.77,-0.729,0.014
0.312,0.125,0.562,0.125,0.312,0.25,0.062,0.062,0.125,0.312,0.562,0.375,0.5,0.188,0.062,0.062,0.5,0.25,0.25,0.188,0.375,0.375,0.062,0.438,0.562,0.932,0.49,-0.381,0.304,-0.118
0.188,0.5,0.312,0.062,0.188,0.188,0.0,0.062,0.5,0.188,0.312,0.188,0.25,0.5,0.0,0.0,0.562,0.25,0.188,0.188,0.688,0.125,0.0,0.312,0.688,1.569,0.262,-0.303,-1.246,-0.134
0.125,0.0,0.875,0.312,0.375,0.312,0.0,0.062,0.0,0.125,0.875,0.375,0.312,0.312,0.25,0.062,0.25,0.312,0.438,0.312,0.25,0.438,0.312,0.688,0.312,0.604,-0.554,0.018,-0.326,-0.258
0.125,0.375,0.5,0.188,0.25,0.188,0.062,0.125,0.375,0.125,0.5,0.25,0.25,0.5,0.0,0.0,0.375,0.188,0.438,0.188,0.625,0.188,0.062,0.562,0.438,1.549,0.729,0.428,-0.812,0.27
0.125,0.0,0.875,0.312,0.5,0.375,0.0,0.188,0.0,0.125,0.875,0.375,0.188,0.312,0.062,0.125,0.375,0.375,0.25,0.375,0.125,0.5,0.25,0.5,0.5,-0.101,-0.566,-0.011,0.222,-0.464
0.125,0.125,0.75,0.25,0.438,0.438,0.0,0.125,0.125,0.125,0.75,0.375,0.188,0.375,0.125,0.0,0.375,0.312,0.312,0.438,0.25,0.312,0.375,0.625,0.375,0.706,-0.761,0.049,-0.486,0.0
0.188,0.25,0.562,0.25,0.25,0.188,0.0,0.188,0.25,0.188,0.562,0.188,0.25,0.438,0.062,0.0,0.375,0.312,0.312,0.25,0.5,0.25,0.125,0.375,0.625,0.918,0.347,-0.081,-0.618,-0.142
0.188,0.312,0.5,0.125,0.25,0.188,0.0,0.062,0.312,0.188,0.5,0.25,0.312,0.438,0.062,0.062,0.438,0.188,0.375,0.188,0.562,0.25,0.125,0.562,0.438,1.648,0.081,0.133,-0.636,-0.169
0.125,0.125,0.75,0.062,0.688,0.438,0.0,0.125,0.125,0.125,0.75,0.688,0.125,0.125,0.0,0.188,0.5,0.375,0.125,0.5,0.125,0.375,0.062,0.375,0.625,-1.408,-0.193,-0.119,0.451,-0.071
0.125,0.188,0.688,0.25,0.375,0.312,0.0,0.188,0.188,0.125,0.688,0.438,0.188,0.25,0.062,0.062,0.312,0.5,0.188,0.438,0.375,0.188,0.125,0.438,0.562,-0.261,-0.126,-0.204,-0.713,-0.328
0.188,0.125,0.688,0.25,0.375,0.375,0.0,0.062,0.125,0.188,0.688,0.312,0.25,0.375,0.0,0.188,0.25,0.312,0.438,0.562,0.25,0.125,0.5,0.75,0.25,1.57,-0.934,0.702,-0.149,-0.596
0.062,0.125,0.812,0.125,0.625,0.438,0.0,0.188,0.125,0.062,0.812,0.625,0.125,0.25,0.125,0.0,0.25,0.5,0.25,0.625,0.188,0.188,0.188,0.562,0.438,-0.847,-0.467,-0.01,-0.563,0.049
0.188,0.125,0.688,0.25,0.375,0.375,0.062,0.0,0.125,0.188,0.688,0.375,0.312,0.438,0.25,0.0,0.312,0.25,0.438,0.312,0.312,0.375,0.312,0.688,0.312,1.119,-0.648,-0.158,-0.481,0.242
0.312,0.125,0.562,0.312,0.188,0.188,0.062,0.125,0.125,0.312,0.562,0.25,0.438,0.312,0.125,0.062,0.438,0.25,0.312,0.188,0.312,0.438,0.25,0.5,0.5,1.496,0.403,0.081,0.236,-0.21
